ID,Edad,Genero,Ingresos Anuales,Gasto Mensual,Puntuación de Crédito,Región,Comportamiento en linea,Compras en el ultimo año
1,21,Masculino,222011,2297,335,Sur,8,81
2,26,Masculino,239229,3420,329,Oeste,10,27
3,38,Masculino,716278,36965,711,Oeste,9,82
4,64,Femenino,697325,9846,855,Sur,2,6
5,52,Femenino,1032569,6607,989,Sur,3,2
6,25,Masculino,219830,2340,483,Norte,9,43
7,56,Masculino,1068126,12830,930,Sur,1,10
8,21,Femenino,224981,1410,328,Este,9,24
9,54,Femenino,1507977,23614,514,Oeste,9,99
10,67,Masculino,1074952,19856,808,Sur,2,4
11,25,Femenino,149122,5414,430,Oeste,7,35
12,22,Femenino,153701,4794,412,Norte,10,72
13,48,Masculino,1538723,30907,608,Norte,9,77
14,21,Femenino,219087,3729,451,Norte,6,64
15,54,Femenino,1721636,29803,559,Este,10,78
16,27,Femenino,198496,4555,301,Sur,8,36
17,40,Femenino,1436416,20588,637,Norte,10,124
18,58,Femenino,813658,28688,865,Sur,3,6
19,64,Masculino,941307,13312,809,Oeste,3,8
20,38,Femenino,1243639,38445,529,Este,10,91
21,50,Masculino,1222793,44543,557,Este,9,135
22,30,Femenino,1215063,27978,606,Oeste,9,85
23,28,Femenino,108676,3077,433,Este,6,43
24,18,Masculino,248537,4781,404,Norte,9,88
25,26,Masculino,217927,3479,415,Sur,10,57
26,26,Masculino,270453,5406,429,Oeste,8,23
27,56,Femenino,756871,40807,541,Norte,9,129
28,48,Femenino,1851585,37092,632,Este,10,134
29,68,Masculino,491602,13679,920,Norte,3,9
30,65,Femenino,450097,16922,890,Oeste,1,8
31,28,Femenino,269878,2042,382,Norte,7,72
32,44,Femenino,1937507,31494,658,Este,9,87
33,50,Masculino,1726843,33955,657,Norte,8,132
34,23,Femenino,166278,4877,418,Norte,8,48
35,32,Masculino,1962005,44150,435,Sur,9,129
36,36,Masculino,1171843,40944,583,Norte,8,131
37,57,Femenino,1617842,25018,524,Sur,9,84
38,20,Femenino,158207,1989,363,Oeste,10,66
39,26,Femenino,213171,4728,389,Oeste,9,49
40,52,Femenino,1464857,19383,520,Sur,9,124
41,23,Masculino,139930,5312,393,Norte,6,44
42,25,Femenino,245060,1376,455,Oeste,8,70
43,59,Masculino,745689,11855,913,Norte,2,7
44,47,Masculino,767940,26843,726,Oeste,8,140
45,23,Masculino,134897,4185,392,Oeste,6,79
46,33,Femenino,1440854,42031,543,Norte,9,101
47,52,Femenino,1924772,37142,400,Este,10,138
48,26,Masculino,234990,5518,455,Norte,10,23
49,49,Femenino,1395594,20283,816,Norte,9,110
50,31,Masculino,1346164,19698,608,Oeste,8,99
51,18,Masculino,183681,2889,356,Oeste,7,69
52,63,Femenino,1165120,22562,969,Norte,3,10
53,26,Femenino,146464,3760,351,Sur,10,15
54,24,Masculino,126206,2397,403,Sur,8,81
55,56,Femenino,944918,20700,834,Este,1,2
56,70,Femenino,499900,15367,878,Oeste,2,6
57,52,Femenino,1978311,42475,685,Sur,9,105
58,52,Masculino,1503984,18908,488,Oeste,9,122
59,41,Masculino,1653406,42902,605,Norte,10,105
60,59,Femenino,1960134,27903,802,Oeste,8,110
61,37,Masculino,1289117,34064,835,Sur,9,84
62,63,Femenino,712256,9789,818,Norte,1,6
63,28,Femenino,182403,4447,440,Sur,10,35
64,60,Femenino,783780,26808,859,Este,3,8
65,44,Masculino,1531988,32356,715,Sur,9,117
66,65,Masculino,934973,23100,880,Este,2,5
67,58,Masculino,966154,21820,991,Este,1,7
68,57,Masculino,1104167,28527,822,Este,1,3
69,50,Femenino,748278,7076,859,Este,2,5
70,20,Femenino,234996,5718,473,Norte,9,76
71,69,Femenino,316689,7269,855,Sur,3,4
72,24,Masculino,133280,4426,308,Norte,10,79
73,69,Femenino,973874,27685,999,Este,3,1
74,48,Masculino,1162273,21991,577,Sur,9,123
75,58,Femenino,567224,6858,810,Oeste,3,9
76,26,Masculino,234571,1204,321,Sur,6,22
77,53,Femenino,1609664,40375,586,Sur,8,143
78,63,Masculino,387789,16938,892,Norte,2,8
79,63,Femenino,698367,20400,994,Norte,2,5
80,51,Masculino,987711,14317,953,Este,1,8
81,56,Femenino,1131763,25585,915,Oeste,2,10
82,26,Femenino,261219,3033,441,Este,6,19
83,39,Femenino,1867016,34217,602,Sur,9,113
84,68,Femenino,1063167,25440,975,Este,3,2
85,57,Masculino,1122770,29287,796,Sur,10,121
86,46,Masculino,965563,21866,634,Este,9,128
87,52,Masculino,786384,18261,820,Sur,2,2
88,37,Femenino,904779,24454,695,Sur,9,137
89,20,Femenino,182297,5390,452,Norte,10,25
90,64,Femenino,948214,5805,839,Este,2,4
91,54,Femenino,251082,15805,905,Oeste,3,5
92,34,Masculino,1445114,30945,824,Sur,10,80
93,53,Masculino,1164135,12729,835,Norte,1,4
94,60,Masculino,1090493,15800,936,Oeste,3,6
95,30,Femenino,1153056,32840,635,Este,9,82
96,27,Masculino,195724,2911,304,Oeste,9,39
97,27,Femenino,163379,5833,322,Oeste,6,47
98,38,Femenino,1289366,28872,561,Norte,8,113
99,29,Masculino,162636,1542,368,Oeste,7,97
100,57,Masculino,1020846,24655,596,Norte,10,77
101,18,Masculino,277777,1047,332,Sur,8,29
102,29,Masculino,155600,5200,451,Este,6,59
103,53,Femenino,748513,7201,898,Oeste,1,1
104,42,Femenino,1280085,31325,815,Oeste,8,128
105,30,Masculino,1605245,23603,454,Norte,8,91
106,67,Femenino,744836,5854,964,Oeste,2,10
107,24,Masculino,181175,2379,410,Norte,8,47
108,54,Femenino,529293,17037,924,Oeste,3,1
109,57,Masculino,1029347,12059,840,Este,3,1
110,51,Masculino,1130747,10176,948,Oeste,2,8
111,24,Masculino,119786,3712,495,Sur,9,96
112,57,Masculino,1821676,20063,812,Sur,8,83
113,68,Femenino,662538,6373,800,Norte,3,6
114,20,Masculino,117932,4955,377,Este,9,57
115,53,Femenino,338066,22938,943,Norte,1,5
116,58,Femenino,1141961,18680,937,Oeste,2,10
117,44,Femenino,1776288,21165,492,Este,9,87
118,55,Femenino,1233173,28604,588,Norte,10,144
119,69,Masculino,410545,8573,904,Norte,3,7
120,56,Femenino,423919,23508,877,Norte,3,5
121,24,Femenino,165503,3504,476,Norte,9,55
122,70,Masculino,1035843,18359,894,Este,2,1
123,51,Masculino,1099714,20473,970,Norte,3,2
124,67,Masculino,914503,29951,965,Sur,1,1
125,22,Femenino,246792,3042,304,Oeste,10,55
126,25,Masculino,183671,5165,480,Oeste,9,94
127,31,Femenino,1565517,34002,532,Oeste,8,134
128,37,Femenino,1859766,30978,668,Norte,10,103
129,68,Femenino,953874,25309,990,Norte,3,3
130,33,Masculino,1900879,35429,539,Sur,8,122
131,57,Masculino,1907731,16600,615,Este,9,145
132,58,Femenino,1636733,27805,714,Sur,9,98
133,26,Femenino,124969,3352,356,Este,10,35
134,23,Femenino,206248,4657,316,Sur,6,57
135,22,Femenino,213732,4559,387,Norte,10,61
136,51,Masculino,1031870,11817,849,Este,2,9
137,53,Masculino,911296,9193,991,Norte,1,1
138,56,Femenino,852300,19160,746,Norte,9,107
139,67,Masculino,315049,13887,842,Sur,1,1
140,19,Masculino,255017,4218,385,Norte,8,97
141,54,Femenino,549015,15388,883,Oeste,1,3
142,21,Femenino,151500,3675,496,Norte,10,35
143,27,Femenino,134213,1459,392,Oeste,7,57
144,31,Masculino,997255,43776,542,Sur,10,123
145,22,Masculino,197600,4079,483,Sur,7,26
146,30,Femenino,122267,1100,337,Sur,10,28
147,34,Femenino,1519221,35250,637,Oeste,10,131
148,34,Masculino,974334,44286,704,Norte,9,114
149,64,Femenino,443898,6403,987,Norte,2,8
150,20,Femenino,192841,5382,454,Este,6,48
151,58,Masculino,1072767,22677,838,Oeste,1,6
152,51,Femenino,401956,15923,962,Sur,1,7
153,51,Masculino,926545,17989,587,Este,9,134
154,56,Femenino,696460,27673,892,Sur,2,1
155,46,Masculino,760767,23417,602,Oeste,9,128
156,50,Masculino,1522437,36827,836,Oeste,10,99
157,36,Femenino,1384089,37038,594,Oeste,10,147
158,50,Masculino,1041752,41317,560,Oeste,10,78
159,64,Femenino,291739,14114,805,Sur,1,9
160,21,Femenino,205324,4670,485,Este,6,29
161,18,Masculino,255447,3235,314,Oeste,10,43
162,45,Masculino,778903,20999,693,Norte,10,146
163,57,Masculino,1219837,42975,849,Este,10,137
164,66,Femenino,692198,25266,824,Sur,1,3
165,22,Femenino,116558,4028,399,Oeste,7,94
166,24,Masculino,271946,1907,386,Sur,7,85
167,18,Femenino,124014,5962,489,Este,7,96
168,45,Masculino,792612,44080,805,Este,9,125
169,29,Masculino,199849,5426,362,Oeste,8,27
170,45,Masculino,1616566,22811,677,Norte,8,81
171,58,Masculino,1062065,9524,860,Norte,2,1
172,41,Masculino,1778146,22921,707,Sur,9,133
173,58,Femenino,671086,5191,904,Sur,2,2
174,23,Masculino,156848,5035,345,Este,8,64
175,39,Femenino,867421,29045,818,Sur,9,114
176,60,Femenino,1241504,15130,696,Sur,9,137
177,64,Femenino,355457,19087,901,Norte,1,4
178,29,Masculino,204719,2244,428,Norte,8,79
179,47,Masculino,1567271,16781,717,Oeste,10,142
180,47,Femenino,1925808,23040,571,Norte,10,81
181,70,Femenino,824485,21595,897,Oeste,3,9
